song_id	year_end_score	is_pop	year
0tgVpDi06FyKpA1z0VMD4v	5617	True	2018
3lFf4DnT68QjQGB3iq1BJ9	5549	True	2018
09IStsImFySgyp0pIQdqAc	4590	True	2018
3ee8Jmje8o58CHK66QrVC2	4430	True	2018
0U2pP3HpalMInP1lOhECsw	4363	True	2018
6DCZcSspjsKoFjzjrWoCdn	4266	True	2018
7dt6x5M1jzdTEt8oCbisTK	3864	True	2018
4eWQlBRaTjPPUlzacqEeoQ	3733	True	2018
0At2qAoaVjIwWNAqrscXli	3681	True	2018
2ekn2ttSfGqwhhate0LSR0	3598	True	2018
285pBltuF7vW8TeWk8hdRR	3551	True	2018
7uzmGiiJyRfuViKKK3lVmR	3519	True	2018
42fw0rxRO2xbesF6mJfd4Y	3265	True	2018
6NFyWDv5CjfwuzoCkw47Xf	3251	True	2018
2qT1uLXPVPzGgFOx4jtEuo	3023	True	2018
1wjzFQodRWrPcQ0AnYnvQ9	3013	True	2018
3CA9pLiwRIGtUBiMjbZmRw	2825	True	2018
55S2PQgSMYAhgoTCcGCDfw	2723	True	2018
08bNPGLD8AhKpnnERrAc6G	2713	True	2018
1zB4vmk8tFRmM9UULNzbLB	2660	True	2018
6QgjcU0zLnzq5OrUoSZ3OK	2527	True	2018
2G7V7zsVDxg1yRsu7Ew9RJ	2447	True	2018
0TlLq3lA83rQOYtrqBqSct	2430	True	2018
6Qn5zhYkTa37e91HC1D7lb	2372	True	2018
514rhnksEwHUh6LxXsQ4Y9	2368	True	2018
5OCJzvD7sykQEKHH7qAC3C	2283	True	2018
2QZ7WLBE8h2y1Y5Fb8RYbH	2189	True	2018
2xLMifQCjDGFmkHkpNLD9h	2171	True	2018
7y9iMe8SOB6z3NoHE2OfXl	2161	True	2018
2FY7b99s15jUprqC0M5NCT	2056	True	2018
1HXy5I3HTWq8OvxCn0z7G7	2046	True	2018
52okn5MNA47tk87PeZJLEL	2031	True	2018
2Yl4OmDby9iitgNWZPwxkd	2004	True	2018
75ZvA4QfFiZvzhj2xkaWAh	1917	True	2018
09mEdoA6zrmBPgTEN5qXmN	1916	True	2018
0b9oOr2ZgvyQu88wzixux9	1853	True	2018
2UVbBKQOdFAekPTRsnkzcf	1852	True	2018
3T9CfDxFYqZWSKxd0BhZrb	1850	True	2018
0JP9xo3adEtGSdUEISiszL	1768	True	2018
1ZAyjvIk9YiD76yYy0TEG6	1767	True	2018
6CTWathupIiDs7U4InHnDA	1715	True	2018
7AFASza1mXqntmGtbxXprO	1678	True	2018
2zMDMCtGzTOD8qVHyznGIl	1669	True	2018
34zBwp36K4bllpwnXAlkoN	1650	True	2018
4OafepJy2teCjYJbvFE60J	1649	True	2018
7gvd8xj4QgPqbQSsn5pV7d	1625	True	2018
3qN5qMTKyEEmiTZD38BNTT	1587	True	2018
5Z3GHaZ6ec9bsiI5BenrbY	1571	True	2018
7qiZfU4dY1lWllzX7mPBI3	1545	True	2018
12y5Aa7lUHD8BBuwYVl88A	1544	True	2018
4HbiCvH1R7mVOJ7KY7JQBD	1530	True	2018
6Up545NUflOiXo8cEraH49	1514	True	2018
1e4rwBPVI32vZtTJu7mJ4J	1509	True	2018
6XcfKZvJio9Z0fQy11GnNX	1505	True	2018
4L9Ds4mpD3SuYoWwFUlv16	1474	True	2018
1rqqCSm0Qe4I9rUvWncaom	1464	True	2018
1xzBco0xcoJEDXktl7Jxrr	1438	True	2018
3g2qgbWPl8TcgJIkstWpSV	1430	True	2018
5PIfH6BzcmH04RDmtzF0BN	1423	True	2018
0OWZFobGSIW9GrSlQ9C5pc	1377	True	2018
04ZTP5KsCypmtCmQg5tH9R	1362	True	2018
39N9RPD9MRb5WmoLzNzPeA	1362	True	2018
6wmAHw1szh5RCKSRjiXhPe	1347	True	2018
2ZFrEp20VO25BXYhMxh0GW	1335	True	2018
4VXIryQMWpIdGgYR4TrjT1	1334	True	2018
4lFfMRH0YH4pW5gczTDbNC	1329	True	2018
6KuqAtoeVzxAYOaMveLNpH	1308	True	2018
